nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;604;;;588,06
;;;;;;;;;32;;;96,62
0;270000;78725;7000;770573;2720;76193;581;1951;581;0,22%;267468;494,038146973
1;270000;78725;7000;770573;2720;76160;614;1951;614;0,23%;267435;530,589115858
2;270000;78725;7000;770573;2720;76163;611;1951;611;0,23%;267438;533,654747009
3;270000;78725;7000;770573;2720;76143;631;1951;631;0,24%;267418;462,642817974
4;270000;78725;7000;770573;2720;76170;604;1951;604;0,23%;267445;637,009836197
5;270000;78725;7000;770573;2720;76143;631;1951;631;0,24%;267418;530,988774061
6;270000;78725;7000;770573;2720;76166;608;1951;608;0,23%;267441;569,390727997
7;270000;78725;7000;770573;2720;76166;608;1951;608;0,23%;267441;566,016597986
8;270000;78725;7000;770573;2720;76219;555;1951;555;0,21%;267494;638,778086901
9;270000;78725;7000;770573;2720;76192;582;1951;582;0,22%;267467;602,749480009
10;270000;78725;7000;770573;2720;76258;516;1951;516;0,19%;267533;710,017739058
11;270000;78725;7000;770573;2720;76188;586;1951;586;0,22%;267463;603,247895956
12;270000;78725;7000;770573;2720;76149;625;1951;625;0,23%;267424;599,077628851
13;270000;78725;7000;770573;2720;76212;562;1951;562;0,21%;267487;644,696125031
14;270000;78725;7000;770573;2720;76210;564;1951;564;0,21%;267485;495,584142923
15;270000;78725;7000;770573;2720;76153;621;1951;621;0,23%;267428;528,290913105
16;270000;78725;7000;770573;2720;76177;597;1951;597;0,22%;267452;529,163759947
17;270000;78725;7000;770573;2720;76156;618;1951;618;0,23%;267431;614,471335888
18;270000;78725;7000;770573;2720;76199;575;1951;575;0,21%;267474;590,128000021
19;270000;78725;7000;770573;2720;76159;615;1951;615;0,23%;267434;467,854911089
20;270000;78725;7000;770573;2720;76172;602;1951;602;0,22%;267447;650,103199959
21;270000;78725;7000;770573;2720;76124;650;1951;650;0,24%;267399;744,759782076
22;270000;78725;7000;770573;2720;76182;592;1951;592;0,22%;267457;544,032310009
23;270000;78725;7000;770573;2720;76180;594;1951;594;0,22%;267455;537,02739501
24;270000;78725;7000;770573;2720;76152;622;1951;622;0,23%;267427;499,752157927
25;270000;78725;7000;770573;2720;76126;648;1951;648;0,24%;267401;633,934088945
26;270000;78725;7000;770573;2720;76092;682;1951;682;0,25%;267367;499,787832975
27;270000;78725;7000;770573;2720;76174;600;1951;600;0,22%;267449;540,031919003
28;270000;78725;7000;770573;2720;76155;619;1951;619;0,23%;267430;724,236706972
29;270000;78725;7000;770573;2720;76159;615;1951;615;0,23%;267434;919,67128706
;;;;;;;;;;0,23%;;
;;;;;;;;;;0,01%;;
