nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;140500;32148;2856;297608;1426;29109;176;2863;176;137461;229,78058219
1;140500;32148;2856;297608;1426;29100;185;2863;185;137452;228,98450613
2;140500;32148;2856;297608;1426;29103;182;2863;182;137455;245,46361208
3;140500;32148;2856;297608;1426;29088;197;2863;197;137440;351,466574907
4;140500;32148;2856;297608;1426;29085;200;2863;200;137437;230,756335974
5;140500;32148;2856;297608;1426;29094;191;2863;191;137446;194,047086954
6;140500;32148;2856;297608;1426;29091;194;2863;194;137443;189,49156189
7;140500;32148;2856;297608;1426;29101;184;2863;184;137453;289,945174932
8;140500;32148;2856;297608;1426;29095;190;2863;190;137447;230,981869936
9;140500;32148;2856;297608;1426;29098;187;2863;187;137450;187,310265064
10;140500;32148;2856;297608;1426;29098;187;2863;187;137450;258,481168985
11;140500;32148;2856;297608;1426;29087;198;2863;198;137439;230,839391947
12;140500;32148;2856;297608;1426;29099;186;2863;186;137451;203,049553156
13;140500;32148;2856;297608;1426;29096;189;2863;189;137448;189,50455308
14;140500;32148;2856;297608;1426;29090;195;2863;195;137442;244,99207902
15;140500;32148;2856;297608;1426;29082;203;2863;203;137434;259,786769152
16;140500;32148;2856;297608;1426;29105;180;2863;180;137457;287,213853836
17;140500;32148;2856;297608;1426;29103;182;2863;182;137455;250,41545701
18;140500;32148;2856;297608;1426;29075;210;2863;210;137427;203,760565042
19;140500;32148;2856;297608;1426;29104;181;2863;181;137456;187,999902964
20;140500;32148;2856;297608;1426;29082;203;2863;203;137434;186,370373964
21;140500;32148;2856;297608;1426;29085;200;2863;200;137437;188,636250019
22;140500;32148;2856;297608;1426;29096;189;2863;189;137448;230,527657032
23;140500;32148;2856;297608;1426;29099;186;2863;186;137451;202,544696808
24;140500;32148;2856;297608;1426;29094;191;2863;191;137446;188,679825068
25;140500;32148;2856;297608;1426;29090;195;2863;195;137442;231,798496008
26;140500;32148;2856;297608;1426;29096;189;2863;189;137448;202,804005861
27;140500;32148;2856;297608;1426;29098;187;2863;187;137450;187,781759977
28;140500;32148;2856;297608;1426;29098;187;2863;187;137450;203,710055113
29;140500;32148;2856;297608;1426;29104;181;2863;181;137456;271,971621037
