nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;154401;119808;10640;1194831;3630;118120;1688;0;1688;152713;852,919826984
1;154401;119808;10640;1194831;3630;117920;1888;0;1888;152513;917,40671587
2;154401;119808;10640;1194831;3630;117686;2122;0;2122;152279;627,786094904
3;154401;119808;10640;1194831;3630;117558;2250;0;2250;152151;667,458787918
4;154401;119808;10640;1194831;3630;118062;1746;0;1746;152655;800,870298862
5;154401;119808;10640;1194831;3630;118122;1686;0;1686;152715;778,743920088
6;154401;119808;10640;1194831;3630;118136;1672;0;1672;152729;698,607996941
7;154401;119808;10640;1194831;3630;117860;1948;0;1948;152453;496,212398052
8;154401;119808;10640;1194831;3630;117823;1985;0;1985;152416;494,510411024
9;154401;119808;10640;1194831;3630;117597;2211;0;2211;152190;374,942620993
10;154401;119808;10640;1194831;3630;117454;2354;0;2354;152047;375,849036932
11;154401;119808;10640;1194831;3630;117487;2321;0;2321;152080;373,119410992
12;154401;119808;10640;1194831;3630;117761;2047;0;2047;152354;373,370466948
13;154401;119808;10640;1194831;3630;118161;1647;0;1647;152754;660,527558804
14;154401;119808;10640;1194831;3630;117767;2041;0;2041;152360;494,531453133
15;154401;119808;10640;1194831;3630;118168;1640;0;1640;152761;700,297949076
16;154401;119808;10640;1194831;3630;117626;2182;0;2182;152219;374,722676039
17;154401;119808;10640;1194831;3630;117434;2374;0;2374;152027;372,261801958
18;154401;119808;10640;1194831;3630;117491;2317;0;2317;152084;375,00334096
19;154401;119808;10640;1194831;3630;117818;1990;0;1990;152411;498,157615185
20;154401;119808;10640;1194831;3630;117862;1946;0;1946;152455;498,656181097
21;154401;119808;10640;1194831;3630;117953;1855;0;1855;152546;534,784159899
22;154401;119808;10640;1194831;3630;117959;1849;0;1849;152552;498,388560057
23;154401;119808;10640;1194831;3630;117705;2103;0;2103;152298;380,259330034
24;154401;119808;10640;1194831;3630;117894;1914;0;1914;152487;536,278371811
25;154401;119808;10640;1194831;3630;117582;2226;0;2226;152175;374,095062017
26;154401;119808;10640;1194831;3630;118001;1807;0;1807;152594;495,337404966
27;154401;119808;10640;1194831;3630;117591;2217;0;2217;152184;456,303508997
28;154401;119808;10640;1194831;3630;117942;1866;0;1866;152535;498,054053068
29;154401;119808;10640;1194831;3630;117868;1940;0;1940;152461;537,555023909
