nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;307200;215232;19292;2223337;4626;209457;2208;3567;2208;301425;986,257209063
1;307200;215232;19292;2223337;4626;209557;2108;3567;2108;301525;990,073821068
2;307200;215232;19292;2223337;4626;209536;2129;3567;2129;301504;985,171826124
3;307200;215232;19292;2223337;4626;209386;2279;3567;2279;301354;923,187156916
4;307200;215232;19292;2223337;4626;209493;2172;3567;2172;301461;869,989510059
5;307200;215232;19292;2223337;4626;209539;2126;3567;2126;301507;815,784945965
6;307200;215232;19292;2223337;4626;209496;2169;3567;2169;301464;1014,52067685
7;307200;215232;19292;2223337;4626;209441;2224;3567;2224;301409;885,24795413
8;307200;215232;19292;2223337;4626;209421;2244;3567;2244;301389;801,57800293
9;307200;215232;19292;2223337;4626;209519;2146;3567;2146;301487;738,191564083
10;307200;215232;19292;2223337;4626;209543;2122;3567;2122;301511;824,318821907
11;307200;215232;19292;2223337;4626;209412;2253;3567;2253;301380;775,063771009
12;307200;215232;19292;2223337;4626;209497;2168;3567;2168;301465;831,532280922
13;307200;215232;19292;2223337;4626;209483;2182;3567;2182;301451;769,747309923
14;307200;215232;19292;2223337;4626;209479;2186;3567;2186;301447;970,221189022
15;307200;215232;19292;2223337;4626;209620;2045;3567;2045;301588;853,533425093
16;307200;215232;19292;2223337;4626;209512;2153;3567;2153;301480;725,271965981
17;307200;215232;19292;2223337;4626;209445;2220;3567;2220;301413;1181,586483
18;307200;215232;19292;2223337;4626;209540;2125;3567;2125;301508;1061,53843594
19;307200;215232;19292;2223337;4626;209528;2137;3567;2137;301496;915,706048012
20;307200;215232;19292;2223337;4626;209512;2153;3567;2153;301480;795,711141825
21;307200;215232;19292;2223337;4626;209321;2344;3567;2344;301289;730,718983889
22;307200;215232;19292;2223337;4626;209498;2167;3567;2167;301466;796,609950066
23;307200;215232;19292;2223337;4626;209595;2070;3567;2070;301563;976,905196905
24;307200;215232;19292;2223337;4626;209519;2146;3567;2146;301487;966,274260044
25;307200;215232;19292;2223337;4626;209623;2042;3567;2042;301591;789,557569981
26;307200;215232;19292;2223337;4626;209334;2331;3567;2331;301302;785,176642895
27;307200;215232;19292;2223337;4626;209369;2296;3567;2296;301337;844,432797909
28;307200;215232;19292;2223337;4626;209621;2044;3567;2044;301589;971,222016096
29;307200;215232;19292;2223337;4626;209402;2263;3567;2263;301370;863,697152138
