nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;652;;;490,33
;;;;;;;;;13;;;86,31
0;187500;114904;10287;1125750;4685;109678;660;4566;660;0,36%;182274;581,940452814
1;187500;114904;10287;1125750;4685;109686;652;4566;652;0,36%;182282;566,410494089
2;187500;114904;10287;1125750;4685;109680;658;4566;658;0,36%;182276;673,03854394
3;187500;114904;10287;1125750;4685;109670;668;4566;668;0,37%;182266;657,832251072
4;187500;114904;10287;1125750;4685;109672;666;4566;666;0,36%;182268;487,047479153
5;187500;114904;10287;1125750;4685;109692;646;4566;646;0,35%;182288;679,47665906
6;187500;114904;10287;1125750;4685;109690;648;4566;648;0,35%;182286;537,503427029
7;187500;114904;10287;1125750;4685;109699;639;4566;639;0,35%;182295;441,645849943
8;187500;114904;10287;1125750;4685;109663;675;4566;675;0,37%;182259;630,017809153
9;187500;114904;10287;1125750;4685;109694;644;4566;644;0,35%;182290;507,694517851
10;187500;114904;10287;1125750;4685;109702;636;4566;636;0,35%;182298;438,522301912
11;187500;114904;10287;1125750;4685;109694;644;4566;644;0,35%;182290;495,014884949
12;187500;114904;10287;1125750;4685;109687;651;4566;651;0,36%;182283;417,470211983
13;187500;114904;10287;1125750;4685;109682;656;4566;656;0,36%;182278;425,952984095
14;187500;114904;10287;1125750;4685;109696;642;4566;642;0,35%;182292;469,695040941
15;187500;114904;10287;1125750;4685;109689;649;4566;649;0,35%;182285;468,335457802
16;187500;114904;10287;1125750;4685;109672;666;4566;666;0,36%;182268;469,970344067
17;187500;114904;10287;1125750;4685;109670;668;4566;668;0,37%;182266;416,896106005
18;187500;114904;10287;1125750;4685;109698;640;4566;640;0,35%;182294;416,444401026
19;187500;114904;10287;1125750;4685;109697;641;4566;641;0,35%;182293;476,141735077
20;187500;114904;10287;1125750;4685;109691;647;4566;647;0,35%;182287;472,745230913
21;187500;114904;10287;1125750;4685;109706;632;4566;632;0,35%;182302;474,791736126
22;187500;114904;10287;1125750;4685;109689;649;4566;649;0,35%;182285;531,124475002
23;187500;114904;10287;1125750;4685;109696;642;4566;642;0,35%;182292;425,439264059
24;187500;114904;10287;1125750;4685;109688;650;4566;650;0,36%;182284;534,211643934
25;187500;114904;10287;1125750;4685;109675;663;4566;663;0,36%;182271;358,609083891
26;187500;114904;10287;1125750;4685;109653;685;4566;685;0,37%;182249;355,635168076
27;187500;114904;10287;1125750;4685;109672;666;4566;666;0,36%;182268;415,646603107
28;187500;114904;10287;1125750;4685;109686;652;4566;652;0,36%;182282;471,174566031
29;187500;114904;10287;1125750;4685;109704;634;4566;634;0,35%;182300;413,527044058
;;;;;;;;;;0,36%;;
;;;;;;;;;;0,01%;;
