nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;154401;120000;10800;1239991;5957;118287;1713;0;1870;152531;528,987179041
1;154401;120000;10800;1239991;5957;118281;1719;0;1876;152525;512,368220806
2;154401;120000;10800;1239991;5957;118303;1697;0;1854;152547;694,497233152
3;154401;120000;10800;1239991;5957;118282;1718;0;1875;152526;676,076395988
4;154401;120000;10800;1239991;5957;118310;1690;0;1847;152554;679,237882137
5;154401;120000;10800;1239991;5957;118315;1685;0;1842;152559;519,705862045
6;154401;120000;10800;1239991;5957;118311;1689;0;1846;152555;338,854302883
7;154401;120000;10800;1239991;5957;118270;1730;0;1887;152514;419,219753027
8;154401;120000;10800;1239991;5957;118288;1712;0;1869;152532;500,674647093
9;154401;120000;10800;1239991;5957;118245;1755;0;1912;152489;335,456287861
10;154401;120000;10800;1239991;5957;118252;1748;0;1905;152496;419,854544163
11;154401;120000;10800;1239991;5957;118288;1712;0;1869;152532;334,817565203
12;154401;120000;10800;1239991;5957;118266;1734;0;1891;152510;416,959663868
13;154401;120000;10800;1239991;5957;118312;1688;0;1845;152556;419,514536858
14;154401;120000;10800;1239991;5957;118292;1708;0;1865;152536;333,569990158
15;154401;120000;10800;1239991;5957;118291;1709;0;1866;152535;497,276446104
16;154401;120000;10800;1239991;5957;118321;1679;0;1836;152565;419,236600876
17;154401;120000;10800;1239991;5957;118294;1706;0;1863;152538;497,06969285
18;154401;120000;10800;1239991;5957;118258;1742;0;1899;152502;495,89908886
19;154401;120000;10800;1239991;5957;118286;1714;0;1871;152530;336,535830021
20;154401;120000;10800;1239991;5957;118270;1730;0;1887;152514;420,013808966
21;154401;120000;10800;1239991;5957;118305;1695;0;1852;152549;336,382575035
22;154401;120000;10800;1239991;5957;118249;1751;0;1908;152493;499,068469048
23;154401;120000;10800;1239991;5957;118280;1720;0;1877;152524;332,227858067
24;154401;120000;10800;1239991;5957;118312;1688;0;1845;152556;427,211185932
25;154401;120000;10800;1239991;5957;118236;1764;0;1921;152480;494,352293968
26;154401;120000;10800;1239991;5957;118314;1686;0;1843;152558;493,951360941
27;154401;120000;10800;1239991;5957;118261;1739;0;1896;152505;332,717976093
28;154401;120000;10800;1239991;5957;118256;1744;0;1901;152500;413,24715209
29;154401;120000;10800;1239991;5957;118260;1740;0;1897;152504;337,655963898
