nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;187000;30225;2668;262268;1355;28375;287;1563;287;185150;349,863909006
1;187000;30225;2668;262268;1355;28379;283;1563;283;185154;333,090308905
2;187000;30225;2668;262268;1355;28400;262;1563;262;185175;441,621825933
3;187000;30225;2668;262268;1355;28422;240;1563;240;185197;286,502254963
4;187000;30225;2668;262268;1355;28398;264;1563;264;185173;341,866433859
5;187000;30225;2668;262268;1355;28355;307;1563;307;185130;308,411561012
6;187000;30225;2668;262268;1355;28381;281;1563;281;185156;389,287535906
7;187000;30225;2668;262268;1355;28414;248;1563;248;185189;290,346155882
8;187000;30225;2668;262268;1355;28387;275;1563;275;185162;283,428842068
9;187000;30225;2668;262268;1355;28416;246;1563;246;185191;395,141022921
10;187000;30225;2668;262268;1355;28350;312;1563;312;185125;311,11807394
11;187000;30225;2668;262268;1355;28388;274;1563;274;185163;248,306245089
12;187000;30225;2668;262268;1355;28363;299;1563;299;185138;312,77739501
13;187000;30225;2668;262268;1355;28348;314;1563;314;185123;283,05595088
14;187000;30225;2668;262268;1355;28401;261;1563;261;185176;264,649445057
15;187000;30225;2668;262268;1355;28432;230;1563;230;185207;264,534755945
16;187000;30225;2668;262268;1355;28358;304;1563;304;185133;317,744412184
17;187000;30225;2668;262268;1355;28399;263;1563;263;185174;310,644536018
18;187000;30225;2668;262268;1355;28429;233;1563;233;185204;310,968909979
19;187000;30225;2668;262268;1355;28410;252;1563;252;185185;279,282666922
20;187000;30225;2668;262268;1355;28407;255;1563;255;185182;303,509043932
21;187000;30225;2668;262268;1355;28368;294;1563;294;185143;391,582973003
22;187000;30225;2668;262268;1355;28403;259;1563;259;185178;362,081665993
23;187000;30225;2668;262268;1355;28406;256;1563;256;185181;330,551929951
24;187000;30225;2668;262268;1355;28426;236;1563;236;185201;260,48132205
25;187000;30225;2668;262268;1355;28384;278;1563;278;185159;257,29540801
26;187000;30225;2668;262268;1355;28423;239;1563;239;185198;242,001964808
27;187000;30225;2668;262268;1355;28365;297;1563;297;185140;414,083704948
28;187000;30225;2668;262268;1355;28378;284;1563;284;185153;278,051290035
29;187000;30225;2668;262268;1355;28346;316;1563;316;185121;295,470208883
