nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;187500;32088;2850;280418;1563;30583;381;1124;381;185995;231,207005978
1;187500;32088;2850;280418;1563;30589;375;1124;375;186001;269,458348989
2;187500;32088;2850;280418;1563;30576;388;1124;388;185988;305,914902925
3;187500;32088;2850;280418;1563;30580;384;1124;384;185992;247,078505993
4;187500;32088;2850;280418;1563;30579;385;1124;385;185991;323,3916502
5;187500;32088;2850;280418;1563;30574;390;1124;390;185986;265,394340992
6;187500;32088;2850;280418;1563;30584;380;1124;380;185996;229,4080832
7;187500;32088;2850;280418;1563;30576;388;1124;388;185988;361,167682886
8;187500;32088;2850;280418;1563;30578;386;1124;386;185990;363,616622925
9;187500;32088;2850;280418;1563;30581;383;1124;383;185993;383,66581893
10;187500;32088;2850;280418;1563;30582;382;1124;382;185994;383,285474062
11;187500;32088;2850;280418;1563;30574;390;1124;390;185986;381,820593834
12;187500;32088;2850;280418;1563;30580;384;1124;384;185992;286,55360198
13;187500;32088;2850;280418;1563;30576;388;1124;388;185988;359,495386124
14;187500;32088;2850;280418;1563;30586;378;1124;378;185998;304,790877104
15;187500;32088;2850;280418;1563;30585;379;1124;379;185997;284,505208969
16;187500;32088;2850;280418;1563;30583;381;1124;381;185995;227,443953991
17;187500;32088;2850;280418;1563;30582;382;1124;382;185994;227,155121088
18;187500;32088;2850;280418;1563;30580;384;1124;384;185992;249,858281851
19;187500;32088;2850;280418;1563;30587;377;1124;377;185999;341,651924849
20;187500;32088;2850;280418;1563;30580;384;1124;384;185992;228,498714924
21;187500;32088;2850;280418;1563;30579;385;1124;385;185991;227,622009039
22;187500;32088;2850;280418;1563;30580;384;1124;384;185992;231,320011139
23;187500;32088;2850;280418;1563;30584;380;1124;380;185996;370,264183998
24;187500;32088;2850;280418;1563;30582;382;1124;382;185994;269,068181992
25;187500;32088;2850;280418;1563;30579;385;1124;385;185991;337,338608027
26;187500;32088;2850;280418;1563;30586;378;1124;378;185998;270,266475201
27;187500;32088;2850;280418;1563;30570;394;1124;394;185982;252,146411896
28;187500;32088;2850;280418;1563;30580;384;1124;384;185992;252,6289289
29;187500;32088;2850;280418;1563;30583;381;1124;381;185995;347,529500961
