nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;187500;63484;5600;565966;2992;61080;1202;1202;1202;185096;606,432607174
1;187500;63484;5600;565966;2992;61072;1210;1202;1210;185088;404,262331963
2;187500;63484;5600;565966;2992;61075;1207;1202;1207;185091;442,576345921
3;187500;63484;5600;565966;2992;61061;1221;1202;1221;185077;402,848990917
4;187500;63484;5600;565966;2992;61068;1214;1202;1214;185084;362,006644011
5;187500;63484;5600;565966;2992;61041;1241;1202;1241;185057;362,69134593
6;187500;63484;5600;565966;2992;61048;1234;1202;1234;185064;400,459267855
7;187500;63484;5600;565966;2992;61073;1209;1202;1209;185089;360,994165897
8;187500;63484;5600;565966;2992;61061;1221;1202;1221;185077;361,18454814
9;187500;63484;5600;565966;2992;61055;1227;1202;1227;185071;362,627421141
10;187500;63484;5600;565966;2992;61070;1212;1202;1212;185086;437,829265118
11;187500;63484;5600;565966;2992;61059;1223;1202;1223;185075;360,445935965
12;187500;63484;5600;565966;2992;61069;1213;1202;1213;185085;480,22654891
13;187500;63484;5600;565966;2992;61072;1210;1202;1210;185088;401,463632822
14;187500;63484;5600;565966;2992;61079;1203;1202;1203;185095;358,955606937
15;187500;63484;5600;565966;2992;61052;1230;1202;1230;185068;396,981263876
16;187500;63484;5600;565966;2992;61088;1194;1202;1194;185104;437,931273937
17;187500;63484;5600;565966;2992;61056;1226;1202;1226;185072;399,052309036
18;187500;63484;5600;565966;2992;61047;1235;1202;1235;185063;359,770709038
19;187500;63484;5600;565966;2992;61056;1226;1202;1226;185072;360,13488102
20;187500;63484;5600;565966;2992;60997;1285;1202;1285;185013;322,105147839
21;187500;63484;5600;565966;2992;61084;1198;1202;1198;185100;362,841146946
22;187500;63484;5600;565966;2992;61047;1235;1202;1235;185063;442,727210045
23;187500;63484;5600;565966;2992;61053;1229;1202;1229;185069;359,703022957
24;187500;63484;5600;565966;2992;61045;1237;1202;1237;185061;410,698807955
25;187500;63484;5600;565966;2992;61052;1230;1202;1230;185068;402,834664106
26;187500;63484;5600;565966;2992;61072;1210;1202;1210;185088;322,102767944
27;187500;63484;5600;565966;2992;61063;1219;1202;1219;185079;400,662292004
28;187500;63484;5600;565966;2992;61047;1235;1202;1235;185063;405,421315193
29;187500;63484;5600;565966;2992;61081;1201;1202;1201;185097;402,983281136
