nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;154401;97440;8712;944290;4255;94025;1304;2116;1385;150900;345,710684061
1;154401;97440;8712;944290;4255;94023;1306;2116;1387;150898;344,574607134
2;154401;97440;8712;944290;4255;93988;1341;2116;1422;150863;346,261373043
3;154401;97440;8712;944290;4255;93981;1348;2116;1429;150856;636,958782911
4;154401;97440;8712;944290;4255;94017;1312;2116;1393;150892;452,35981822
5;154401;97440;8712;944290;4255;94022;1307;2116;1388;150897;462,238019943
6;154401;97440;8712;944290;4255;93988;1341;2116;1422;150863;429,060067892
7;154401;97440;8712;944290;4255;94004;1325;2116;1406;150879;483,739562035
8;154401;97440;8712;944290;4255;94020;1309;2116;1390;150895;350,417073965
9;154401;97440;8712;944290;4255;94013;1316;2116;1397;150888;362,496082067
10;154401;97440;8712;944290;4255;94016;1313;2116;1394;150891;393,220055103
11;154401;97440;8712;944290;4255;94005;1324;2116;1405;150880;611,698798895
12;154401;97440;8712;944290;4255;94024;1305;2116;1386;150899;554,752599955
13;154401;97440;8712;944290;4255;94010;1319;2116;1400;150885;350,222161055
14;154401;97440;8712;944290;4255;93997;1332;2116;1413;150872;348,713181973
15;154401;97440;8712;944290;4255;93996;1333;2116;1414;150871;460,632029772
16;154401;97440;8712;944290;4255;94016;1313;2116;1394;150891;517,893886805
17;154401;97440;8712;944290;4255;94043;1286;2116;1367;150918;348,430490017
18;154401;97440;8712;944290;4255;94001;1328;2116;1409;150876;345,978919029
19;154401;97440;8712;944290;4255;94037;1292;2116;1373;150912;347,012398005
20;154401;97440;8712;944290;4255;94008;1321;2116;1402;150883;462,314306021
21;154401;97440;8712;944290;4255;94020;1309;2116;1390;150895;517,200443983
22;154401;97440;8712;944290;4255;94009;1320;2116;1401;150884;349,347913027
23;154401;97440;8712;944290;4255;94017;1312;2116;1393;150892;348,308630943
24;154401;97440;8712;944290;4255;94010;1319;2116;1400;150885;346,776726961
25;154401;97440;8712;944290;4255;94024;1305;2116;1386;150899;344,512087107
26;154401;97440;8712;944290;4255;93978;1351;2116;1432;150853;346,97808814
27;154401;97440;8712;944290;4255;94010;1319;2116;1400;150885;346,475914001
28;154401;97440;8712;944290;4255;94022;1307;2116;1388;150897;461,599524975
29;154401;97440;8712;944290;4255;94014;1315;2116;1396;150889;517,115753174
