nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;187500;124704;11094;1213068;4740;120461;1063;3180;1063;183257;502,313050032
1;187500;124704;11094;1213068;4740;120456;1068;3180;1068;183252;518,295723915
2;187500;124704;11094;1213068;4740;120507;1017;3180;1017;183303;470,50378418
3;187500;124704;11094;1213068;4740;120467;1057;3180;1057;183263;470,626166821
4;187500;124704;11094;1213068;4740;120505;1019;3180;1019;183301;488,473814011
5;187500;124704;11094;1213068;4740;120496;1028;3180;1028;183292;467,056799889
6;187500;124704;11094;1213068;4740;120468;1056;3180;1056;183264;490,781889915
7;187500;124704;11094;1213068;4740;120499;1025;3180;1025;183295;487,395787001
8;187500;124704;11094;1213068;4740;120457;1067;3180;1067;183253;442,602669001
9;187500;124704;11094;1213068;4740;120479;1045;3180;1045;183275;440,608093977
10;187500;124704;11094;1213068;4740;120481;1043;3180;1043;183277;437,383042097
11;187500;124704;11094;1213068;4740;120476;1048;3180;1048;183272;437,041527987
12;187500;124704;11094;1213068;4740;120438;1086;3180;1086;183234;437,16149807
13;187500;124704;11094;1213068;4740;120481;1043;3180;1043;183277;437,297682047
14;187500;124704;11094;1213068;4740;120488;1036;3180;1036;183284;442,928668976
15;187500;124704;11094;1213068;4740;120476;1048;3180;1048;183272;439,609026909
16;187500;124704;11094;1213068;4740;120488;1036;3180;1036;183284;437,696419954
17;187500;124704;11094;1213068;4740;120491;1033;3180;1033;183287;438,936920881
18;187500;124704;11094;1213068;4740;120458;1066;3180;1066;183254;438,788629055
19;187500;124704;11094;1213068;4740;120465;1059;3180;1059;183261;441,544637203
20;187500;124704;11094;1213068;4740;120475;1049;3180;1049;183271;444,958329916
21;187500;124704;11094;1213068;4740;120480;1044;3180;1044;183276;441,205431938
22;187500;124704;11094;1213068;4740;120462;1062;3180;1062;183258;444,166092873
23;187500;124704;11094;1213068;4740;120456;1068;3180;1068;183252;445,480237961
24;187500;124704;11094;1213068;4740;120465;1059;3180;1059;183261;442,140117884
25;187500;124704;11094;1213068;4740;120466;1058;3180;1058;183262;440,621577024
26;187500;124704;11094;1213068;4740;120500;1024;3180;1024;183296;445,833412886
27;187500;124704;11094;1213068;4740;120499;1025;3180;1025;183295;439,989513874
28;187500;124704;11094;1213068;4740;120481;1043;3180;1043;183277;682,852916002
29;187500;124704;11094;1213068;4740;120478;1046;3180;1046;183274;491,426646948
