nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;1585;;;407,99
;;;;;;;;;46;;;77,86
0;187500;59706;5312;550462;2411;55684;1524;2498;1524;0,82%;183478;401,473280907
1;187500;59706;5312;550462;2411;55568;1640;2498;1640;0,89%;183362;348,639694929
2;187500;59706;5312;550462;2411;55655;1553;2498;1553;0,84%;183449;412,296619892
3;187500;59706;5312;550462;2411;55657;1551;2498;1551;0,84%;183451;342,857556105
4;187500;59706;5312;550462;2411;55572;1636;2498;1636;0,88%;183366;315,831561089
5;187500;59706;5312;550462;2411;55696;1512;2498;1512;0,82%;183490;427,969476938
6;187500;59706;5312;550462;2411;55558;1650;2498;1650;0,89%;183352;316,487916946
7;187500;59706;5312;550462;2411;55597;1611;2498;1611;0,87%;183391;380,033826828
8;187500;59706;5312;550462;2411;55647;1561;2498;1561;0,84%;183441;482,995048046
9;187500;59706;5312;550462;2411;55655;1553;2498;1553;0,84%;183449;574,279516935
10;187500;59706;5312;550462;2411;55568;1640;2498;1640;0,89%;183362;290,861996889
11;187500;59706;5312;550462;2411;55691;1517;2498;1517;0,82%;183485;428,15734601
12;187500;59706;5312;550462;2411;55590;1618;2498;1618;0,87%;183384;457,210330963
13;187500;59706;5312;550462;2411;55592;1616;2498;1616;0,87%;183386;558,130365849
14;187500;59706;5312;550462;2411;55649;1559;2498;1559;0,84%;183443;354,192066908
15;187500;59706;5312;550462;2411;55634;1574;2498;1574;0,85%;183428;409,045082808
16;187500;59706;5312;550462;2411;55668;1540;2498;1540;0,83%;183462;402,066394091
17;187500;59706;5312;550462;2411;55553;1655;2498;1655;0,89%;183347;316,19791317
18;187500;59706;5312;550462;2411;55560;1648;2498;1648;0,89%;183354;291,500628948
19;187500;59706;5312;550462;2411;55663;1545;2498;1545;0,84%;183457;405,451536179
20;187500;59706;5312;550462;2411;55628;1580;2498;1580;0,85%;183422;373,742825985
21;187500;59706;5312;550462;2411;55629;1579;2498;1579;0,85%;183423;291,953756809
22;187500;59706;5312;550462;2411;55663;1545;2498;1545;0,84%;183457;399,846587896
23;187500;59706;5312;550462;2411;55597;1611;2498;1611;0,87%;183391;512,131808043
24;187500;59706;5312;550462;2411;55533;1675;2498;1675;0,91%;183327;417,957781076
25;187500;59706;5312;550462;2411;55603;1605;2498;1605;0,87%;183397;520,237088919
26;187500;59706;5312;550462;2411;55642;1566;2498;1566;0,85%;183436;394,534264088
27;187500;59706;5312;550462;2411;55651;1557;2498;1557;0,84%;183445;448,879889965
28;187500;59706;5312;550462;2411;55611;1597;2498;1597;0,86%;183405;509,465760946
29;187500;59706;5312;550462;2411;55675;1533;2498;1533;0,83%;183469;455,279090166
;;;;;;;;;;0,86%;;
;;;;;;;;;;0,02%;;
