nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;166500;83832;7450;797159;2996;79751;1461;2620;1461;162419;457,682199955
1;166500;83832;7450;797159;2996;79926;1286;2620;1286;162594;592,592138767
2;166500;83832;7450;797159;2996;79808;1404;2620;1404;162476;460,789366961
3;166500;83832;7450;797159;2996;79766;1446;2620;1446;162434;478,200434923
4;166500;83832;7450;797159;2996;79755;1457;2620;1457;162423;522,951951981
5;166500;83832;7450;797159;2996;79848;1364;2620;1364;162516;515,13499999
6;166500;83832;7450;797159;2996;79827;1385;2620;1385;162495;549,776728153
7;166500;83832;7450;797159;2996;79740;1472;2620;1472;162408;548,282851934
8;166500;83832;7450;797159;2996;79832;1380;2620;1380;162500;395,149498224
9;166500;83832;7450;797159;2996;79863;1349;2620;1349;162531;468,77076602
10;166500;83832;7450;797159;2996;79829;1383;2620;1383;162497;430,684571028
11;166500;83832;7450;797159;2996;79856;1356;2620;1356;162524;639,99300909
12;166500;83832;7450;797159;2996;79691;1521;2620;1521;162359;409,133583069
13;166500;83832;7450;797159;2996;79845;1367;2620;1367;162513;451,951762915
14;166500;83832;7450;797159;2996;79824;1388;2620;1388;162492;410,798402071
15;166500;83832;7450;797159;2996;79832;1380;2620;1380;162500;528,963524818
16;166500;83832;7450;797159;2996;79822;1390;2620;1390;162490;454,259258986
17;166500;83832;7450;797159;2996;79750;1462;2620;1462;162418;656,861002922
18;166500;83832;7450;797159;2996;79824;1388;2620;1388;162492;702,038550138
19;166500;83832;7450;797159;2996;79893;1319;2620;1319;162561;457,59505105
20;166500;83832;7450;797159;2996;79876;1336;2620;1336;162544;580,119254112
21;166500;83832;7450;797159;2996;79685;1527;2620;1527;162353;504,896839857
22;166500;83832;7450;797159;2996;79788;1424;2620;1424;162456;457,881998062
23;166500;83832;7450;797159;2996;79828;1384;2620;1384;162496;539,516023159
24;166500;83832;7450;797159;2996;79856;1356;2620;1356;162524;462,046428204
25;166500;83832;7450;797159;2996;79767;1445;2620;1445;162435;462,96308589
26;166500;83832;7450;797159;2996;79840;1372;2620;1372;162508;465,216732979
27;166500;83832;7450;797159;2996;79857;1355;2620;1355;162525;457,139693022
28;166500;83832;7450;797159;2996;79854;1358;2620;1358;162522;713,015256882
29;166500;83832;7450;797159;2996;79884;1328;2620;1328;162552;549,746670008
