nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;307200;236925;21175;2434701;3987;232349;2014;2562;2014;302624;1054,78395605
1;307200;236925;21175;2434701;3987;232360;2003;2562;2003;302635;1347,94386697
2;307200;236925;21175;2434701;3987;232286;2077;2562;2077;302561;1224,52436996
3;307200;236925;21175;2434701;3987;232272;2091;2562;2091;302547;1176,49131703
4;307200;236925;21175;2434701;3987;232408;1955;2562;1955;302683;1127,34742093
5;307200;236925;21175;2434701;3987;232357;2006;2562;2006;302632;1078,242172
6;307200;236925;21175;2434701;3987;232266;2097;2562;2097;302541;1123,56426096
7;307200;236925;21175;2434701;3987;232267;2096;2562;2096;302542;998,039907932
8;307200;236925;21175;2434701;3987;232253;2110;2562;2110;302528;751,552067995
9;307200;236925;21175;2434701;3987;232193;2170;2562;2170;302468;843,310173035
10;307200;236925;21175;2434701;3987;232201;2162;2562;2162;302476;842,686233044
11;307200;236925;21175;2434701;3987;232303;2060;2562;2060;302578;790,190649033
12;307200;236925;21175;2434701;3987;232201;2162;2562;2162;302476;791,569446087
13;307200;236925;21175;2434701;3987;232404;1959;2562;1959;302679;896,957267046
14;307200;236925;21175;2434701;3987;232212;2151;2562;2151;302487;845,279340982
15;307200;236925;21175;2434701;3987;232467;1896;2562;1896;302742;890,777804136
16;307200;236925;21175;2434701;3987;232146;2217;2562;2217;302421;804,46417284
17;307200;236925;21175;2434701;3987;232403;1960;2562;1960;302678;838,421157837
18;307200;236925;21175;2434701;3987;232219;2144;2562;2144;302494;985,719959974
19;307200;236925;21175;2434701;3987;232388;1975;2562;1975;302663;1365,13705397
20;307200;236925;21175;2434701;3987;232159;2204;2562;2204;302434;993,368463993
21;307200;236925;21175;2434701;3987;232299;2064;2562;2064;302574;753,910835028
22;307200;236925;21175;2434701;3987;232298;2065;2562;2065;302573;865,300511122
23;307200;236925;21175;2434701;3987;232261;2102;2562;2102;302536;799,396460056
24;307200;236925;21175;2434701;3987;232168;2195;2562;2195;302443;751,119724989
25;307200;236925;21175;2434701;3987;232324;2039;2562;2039;302599;908,359359026
26;307200;236925;21175;2434701;3987;232228;2135;2562;2135;302503;1114,53531885
27;307200;236925;21175;2434701;3987;232335;2028;2562;2028;302610;1094,32869291
28;307200;236925;21175;2434701;3987;232345;2018;2562;2018;302620;678,776811838
29;307200;236925;21175;2434701;3987;232323;2040;2562;2040;302598;848,422420979
