nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;85918;1882;84036;68483;719;67764;154401;0;2601;1,68%;151800;17,2965841293;786,713751793;804,010335922
1;85918;1916;84002;68483;655;67828;154401;0;2571;1,67%;151830;19,9067730904;914,219754934;934,126528025
2;85918;1805;84113;68483;719;67764;154401;0;2524;1,63%;151877;20,1102809906;973,338427067;993,448708057
3;85918;1862;84056;68483;674;67809;154401;0;2536;1,64%;151865;16,8470830917;714,446132898;731,29321599
4;85918;1849;84069;68483;715;67768;154401;0;2564;1,66%;151837;19,8659331799;881,232607841;901,098541021
5;85918;1945;83973;68483;691;67792;154401;0;2636;1,71%;151765;19,1251630783;940,850852966;959,976016045
6;85918;1705;84213;68483;760;67723;154401;0;2465;1,60%;151936;15,6977570057;622,343894958;638,041651964
7;85918;1830;84088;68483;689;67794;154401;0;2519;1,63%;151882;16,9482741356;1054,41605902;1071,36433315
8;85918;1920;83998;68483;665;67818;154401;0;2585;1,67%;151816;22,7616360188;917,231818914;939,993454933
9;85918;1782;84136;68483;646;67837;154401;0;2428;1,57%;151973;21,88793993;863,66623807;885,554177999
10;85918;1823;84095;68483;679;67804;154401;0;2502;1,62%;151899;20,311909914;895,319669008;915,631578922
11;85918;1761;84157;68483;760;67723;154401;0;2521;1,63%;151880;18,7764139175;869,809706926;888,586120844
12;85918;1857;84061;68483;670;67813;154401;0;2527;1,64%;151874;22,4320111275;898,423335791;920,855346918
13;85918;1864;84054;68483;654;67829;154401;0;2518;1,63%;151883;19,647452116;995,15259099;1014,80004311
14;85918;1858;84060;68483;735;67748;154401;0;2593;1,68%;151808;20,5358059406;936,430730104;956,966536045
15;85918;1849;84069;68483;667;67816;154401;0;2516;1,63%;151885;21,0704808235;902,171694994;923,242175817
16;85918;1773;84145;68483;772;67711;154401;0;2545;1,65%;151856;17,2669661045;663,020867109;680,287833214
17;85918;1879;84039;68483;683;67800;154401;0;2562;1,66%;151839;17,2758059502;894,561989069;911,837795019
18;85918;1829;84089;68483;697;67786;154401;0;2526;1,64%;151875;19,2038860321;894,095140934;913,299026966
19;85918;1820;84098;68483;654;67829;154401;0;2474;1,60%;151927;17,5581820011;680,601015806;698,159197807
20;85918;1794;84124;68483;625;67858;154401;0;2419;1,57%;151982;17,2949690819;681,215620041;698,510589123
21;85918;1843;84075;68483;683;67800;154401;0;2526;1,64%;151875;18,4409141541;896,402096033;914,843010187
22;85918;1914;84004;68483;669;67814;154401;0;2583;1,67%;151818;17,2971260548;798,32088995;815,618016005
23;85918;1830;84088;68483;689;67794;154401;0;2519;1,63%;151882;17,9243350029;901,028511047;918,95284605
24;85918;1742;84176;68483;686;67797;154401;0;2428;1,57%;151973;20,416711092;787,863966942;808,280678034
25;85918;1874;84044;68483;722;67761;154401;0;2596;1,68%;151805;20,5406150818;904,978718042;925,519333124
26;85918;1830;84088;68483;664;67819;154401;0;2494;1,62%;151907;17,267113924;791,763996124;809,031110048
27;85918;1877;84041;68483;703;67780;154401;0;2580;1,67%;151821;17,4097771645;808,38360095;825,793378115
28;85918;1837;84081;68483;674;67809;154401;0;2511;1,63%;151890;17,6488559246;930,440762997;948,089618921
29;85918;1942;83976;68483;624;67859;154401;0;2566;1,66%;151835;18,4809920788;805,995110035;824,476102114
;;;;;;;;;2531;1,64%;;;;872,39
;;;;;;;;;53;0,03%;;;;104,12
