nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;187500;132680;11904;1267308;4783;124453;1791;6436;1791;179273;532,01928997
1;187500;132680;11904;1267308;4783;124478;1766;6436;1766;179298;658,402114153
2;187500;132680;11904;1267308;4783;124469;1775;6436;1775;179289;665,353943825
3;187500;132680;11904;1267308;4783;124442;1802;6436;1802;179262;724,695447922
4;187500;132680;11904;1267308;4783;124446;1798;6436;1798;179266;691,260231972
5;187500;132680;11904;1267308;4783;124439;1805;6436;1805;179259;552,969320059
6;187500;132680;11904;1267308;4783;124475;1769;6436;1769;179295;706,693918943
7;187500;132680;11904;1267308;4783;124501;1743;6436;1743;179321;720,403433084
8;187500;132680;11904;1267308;4783;124452;1792;6436;1792;179272;587,369539976
9;187500;132680;11904;1267308;4783;124432;1812;6436;1812;179252;617,246349096
10;187500;132680;11904;1267308;4783;124490;1754;6436;1754;179310;607,460376024
11;187500;132680;11904;1267308;4783;124467;1777;6436;1777;179287;542,411009073
12;187500;132680;11904;1267308;4783;124442;1802;6436;1802;179262;615,922242165
13;187500;132680;11904;1267308;4783;124464;1780;6436;1780;179284;629,528914928
14;187500;132680;11904;1267308;4783;124413;1831;6436;1831;179233;441,6577878
15;187500;132680;11904;1267308;4783;124474;1770;6436;1770;179294;566,246827126
16;187500;132680;11904;1267308;4783;124473;1771;6436;1771;179293;624,938981056
17;187500;132680;11904;1267308;4783;124476;1768;6436;1768;179296;560,367961168
18;187500;132680;11904;1267308;4783;124486;1758;6436;1758;179306;566,076680899
19;187500;132680;11904;1267308;4783;124437;1807;6436;1807;179257;627,056559086
20;187500;132680;11904;1267308;4783;124469;1775;6436;1775;179289;563,755515814
21;187500;132680;11904;1267308;4783;124467;1777;6436;1777;179287;565,087211132
22;187500;132680;11904;1267308;4783;124449;1795;6436;1795;179269;564,720468044
23;187500;132680;11904;1267308;4783;124449;1795;6436;1795;179269;622,270212889
24;187500;132680;11904;1267308;4783;124424;1820;6436;1820;179244;564,459999084
25;187500;132680;11904;1267308;4783;124495;1749;6436;1749;179315;628,816058159
26;187500;132680;11904;1267308;4783;124472;1772;6436;1772;179292;568,893234015
27;187500;132680;11904;1267308;4783;124488;1756;6436;1756;179308;568,468840122
28;187500;132680;11904;1267308;4783;124498;1746;6436;1746;179318;627,434791088
29;187500;132680;11904;1267308;4783;124457;1787;6436;1787;179277;570,412671089
