nro;PxFundo;ErrosFundo;AcertoFundo;PxObjeto;ErrosObjeto;AcertoObjeto;PxImagem;PxCinza;ErrosImagem;;AcertoImagem;TpFase1;TpFase2;TpTotal
0;179013;5262;173751;24637;1569;23068;206000;2350;6831;3,35%;196819;23,9598789215;1082,70107603;1106,66095495
1;179013;6553;172460;24637;1535;23102;206000;2350;8088;3,97%;195562;30,5486390591;1477,58475804;1508,1333971
2;179013;6203;172810;24637;1765;22872;206000;2350;7968;3,91%;195682;41,5286698341;1401,34322405;1442,87189388
3;179013;5612;173401;24637;1758;22879;206000;2350;7370;3,62%;196280;27,3815829754;1101,55788708;1128,93947005
4;179013;6423;172590;24637;1576;23061;206000;2350;7999;3,93%;195651;28,6807029247;1357,75082803;1386,43153095
5;179013;7036;171977;24637;1578;23059;206000;2350;8614;4,23%;195036;29,0137689114;1272,82239509;1301,836164
6;179013;5748;173265;24637;1575;23062;206000;2350;7323;3,60%;196327;23,3019161224;1000,34351993;1023,64543605
7;179013;5850;173163;24637;1596;23041;206000;2350;7446;3,66%;196204;23,5809690952;1015,67685986;1039,25782895
8;179013;5972;173041;24637;1579;23058;206000;2350;7551;3,71%;196099;23,7956700325;1017,92087507;1041,7165451
9;179013;6558;172455;24637;1591;23046;206000;2350;8149;4,00%;195501;23,5494890213;1155,8185339;1179,36802292
10;179013;5894;173119;24637;1706;22931;206000;2350;7600;3,73%;196050;25,3684120178;1210,6525991;1236,02101111
11;179013;5830;173183;24637;1745;22892;206000;2350;7575;3,72%;196075;23,1283881664;1276,96137595;1300,08976412
12;179013;6028;172985;24637;1581;23056;206000;2350;7609;3,74%;196041;29,0830259323;1046,05978417;1075,14281011
13;179013;5901;173112;24637;1864;22773;206000;2350;7765;3,81%;195885;23,2280321121;997,426867962;1020,65490007
14;179013;6670;172343;24637;1492;23145;206000;2350;8162;4,01%;195488;23,2769098282;1079,74764609;1103,02455592
15;179013;5995;173018;24637;1537;23100;206000;2350;7532;3,70%;196118;23,5092670918;877,637581825;901,146848917
16;179013;5925;173088;24637;1478;23159;206000;2350;7403;3,64%;196247;23,7655990124;1098,04811406;1121,81371307
17;179013;6043;172970;24637;1690;22947;206000;2350;7733;3,80%;195917;24,1413519382;888,698382139;912,839734077
18;179013;5463;173550;24637;1412;23225;206000;2350;6875;3,38%;196775;23,8331990242;951,824566126;975,65776515
19;179013;6342;172671;24637;1506;23131;206000;2350;7848;3,85%;195802;24,03134799;1037,66627002;1061,69761801
20;179013;5208;173805;24637;1747;22890;206000;2350;6955;3,42%;196695;24,0355710983;962,373102903;986,408674002
21;179013;5346;173667;24637;1515;23122;206000;2350;6861;3,37%;196789;24,136729002;1039,61155391;1063,74828291
22;179013;6969;172044;24637;1431;23206;206000;2350;8400;4,12%;195250;23,9326620102;1336,670573;1360,60323501
23;179013;5514;173499;24637;1415;23222;206000;2350;6929;3,40%;196721;24,2030479908;967,61312604;991,81617403
24;179013;5434;173579;24637;1365;23272;206000;2350;6799;3,34%;196851;24,2723200321;1113,88123798;1138,15355802
25;179013;5843;173170;24637;1673;22964;206000;2350;7516;3,69%;196134;23,9702911377;1194,10849285;1218,07878399
26;179013;6614;172399;24637;1478;23159;206000;2350;8092;3,97%;195558;24,1846189499;1047,66267204;1071,84729099
27;179013;5618;173395;24637;1423;23214;206000;2350;7041;3,46%;196609;24,5165550709;1051,23137808;1075,74793315
28;179013;5470;173543;24637;1645;22992;206000;2350;7115;3,49%;196535;24,2501449585;1187,27724314;1211,5273881
29;179013;5235;173778;24637;1616;23021;206000;2350;6851;3,36%;196799;24,2145910263;975,163972139;999,378563166
;;;;;;;;;7533;3,70%;;;;1132,81
;;;;;;;;;509;0,25%;;;;153,73
