nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;;Pixel Certo;Tempo
;;;;;;;;;804;;;223,04
;;;;;;;;;4;;;35,81
0;166500;24396;2176;209857;1266;22364;686;1388;801;0,49%;164311;301,82455802
1;166500;24396;2176;209857;1266;22362;688;1388;803;0,49%;164309;192,296561003
2;166500;24396;2176;209857;1266;22358;692;1388;807;0,49%;164305;192,087095022
3;166500;24396;2176;209857;1266;22363;687;1388;802;0,49%;164310;193,618413925
4;166500;24396;2176;209857;1266;22362;688;1388;803;0,49%;164309;282,108744144
5;166500;24396;2176;209857;1266;22349;701;1388;816;0,49%;164296;191,446434975
6;166500;24396;2176;209857;1266;22358;692;1388;807;0,49%;164305;193,874804974
7;166500;24396;2176;209857;1266;22362;688;1388;803;0,49%;164309;299,845085144
8;166500;24396;2176;209857;1266;22362;688;1388;803;0,49%;164309;202,370805025
9;166500;24396;2176;209857;1266;22358;692;1388;807;0,49%;164305;285,117531061
10;166500;24396;2176;209857;1266;22363;687;1388;802;0,49%;164310;241,516728163
11;166500;24396;2176;209857;1266;22359;691;1388;806;0,49%;164306;227,34890604
12;166500;24396;2176;209857;1266;22353;697;1388;812;0,49%;164300;225,399563789
13;166500;24396;2176;209857;1266;22359;691;1388;806;0,49%;164306;194,988689899
14;166500;24396;2176;209857;1266;22363;687;1388;802;0,49%;164310;253,35761404
15;166500;24396;2176;209857;1266;22365;685;1388;800;0,48%;164312;194,900779009
16;166500;24396;2176;209857;1266;22365;685;1388;800;0,48%;164312;194,203457832
17;166500;24396;2176;209857;1266;22367;683;1388;798;0,48%;164314;223,416599989
18;166500;24396;2176;209857;1266;22351;699;1388;814;0,49%;164298;240,702695131
19;166500;24396;2176;209857;1266;22359;691;1388;806;0,49%;164306;209,606451988
20;166500;24396;2176;209857;1266;22363;687;1388;802;0,49%;164310;254,907838821
21;166500;24396;2176;209857;1266;22363;687;1388;802;0,49%;164310;240,318792105
22;166500;24396;2176;209857;1266;22364;686;1388;801;0,49%;164311;195,871524096
23;166500;24396;2176;209857;1266;22365;685;1388;800;0,48%;164312;195,811776161
24;166500;24396;2176;209857;1266;22362;688;1388;803;0,49%;164309;194,683270931
25;166500;24396;2176;209857;1266;22364;686;1388;801;0,49%;164311;272,484925985
26;166500;24396;2176;209857;1266;22364;686;1388;801;0,49%;164311;196,649075031
27;166500;24396;2176;209857;1266;22364;686;1388;801;0,49%;164311;211,061382055
28;166500;24396;2176;209857;1266;22363;687;1388;802;0,49%;164310;194,179927111
29;166500;24396;2176;209857;1266;22358;692;1388;807;0,49%;164305;195,07194519
;;;;;;;;;;0,49%;;
;;;;;;;;;;0,00%;;
