nro;Pixel Original;Pixel Corte;Nro Vertices;Nro Arestas;Nro Particulas;Corte Acerto;Corte Erro;Pixel Cinza;Pixel Errado;Pixel Certo;Tempo
0;187500;187500;16800;1796483;6659;177752;2078;7670;2078;177752;556,82193017
1;187500;187500;16800;1796483;6659;177682;2148;7670;2148;177682;661,734063148
2;187500;187500;16800;1796483;6659;177737;2093;7670;2093;177737;572,380831003
3;187500;187500;16800;1796483;6659;177729;2101;7670;2101;177729;656,33641386
4;187500;187500;16800;1796483;6659;177735;2095;7670;2095;177735;660,52221489
5;187500;187500;16800;1796483;6659;177711;2119;7670;2119;177711;479,367227077
6;187500;187500;16800;1796483;6659;177747;2083;7670;2083;177747;673,80379796
7;187500;187500;16800;1796483;6659;177789;2041;7670;2041;177789;570,043047905
8;187500;187500;16800;1796483;6659;177780;2050;7670;2050;177780;661,990532875
9;187500;187500;16800;1796483;6659;177703;2127;7670;2127;177703;664,568567038
10;187500;187500;16800;1796483;6659;177724;2106;7670;2106;177724;571,740943909
11;187500;187500;16800;1796483;6659;177730;2100;7670;2100;177730;662,05789113
12;187500;187500;16800;1796483;6659;177702;2128;7670;2128;177702;662,840651035
13;187500;187500;16800;1796483;6659;177790;2040;7670;2040;177790;570,555111885
14;187500;187500;16800;1796483;6659;177734;2096;7670;2096;177734;567,005774975
15;187500;187500;16800;1796483;6659;177728;2102;7670;2102;177728;566,009112835
16;187500;187500;16800;1796483;6659;177761;2069;7670;2069;177761;664,748822927
17;187500;187500;16800;1796483;6659;177680;2150;7670;2150;177680;568,547369957
18;187500;187500;16800;1796483;6659;177717;2113;7670;2113;177717;663,44929719
19;187500;187500;16800;1796483;6659;177698;2132;7670;2132;177698;564,541538
20;187500;187500;16800;1796483;6659;177716;2114;7670;2114;177716;660,98765111
21;187500;187500;16800;1796483;6659;177722;2108;7670;2108;177722;658,237046003
22;187500;187500;16800;1796483;6659;177769;2061;7670;2061;177769;658,893306017
23;187500;187500;16800;1796483;6659;177756;2074;7670;2074;177756;577,03834486
24;187500;187500;16800;1796483;6659;177681;2149;7670;2149;177681;658,905262947
25;187500;187500;16800;1796483;6659;177711;2119;7670;2119;177711;569,459216833
26;187500;187500;16800;1796483;6659;177738;2092;7670;2092;177738;662,524696112
27;187500;187500;16800;1796483;6659;177676;2154;7670;2154;177676;572,626238823
28;187500;187500;16800;1796483;6659;177712;2118;7670;2118;177712;567,772007942
29;187500;187500;16800;1796483;6659;177721;2109;7670;2109;177721;664,077943087
